Issue Type,Summary,Description,Priority,Status,Epic Name,Epic Link,Sprint,Labels
Epic,Sprint 0 — Foundation,"Goal: Repository siap dikembangkan. Frontend, backend, worker, lint, format, typecheck, test, CI, PostgreSQL/PostGIS local, migration awal, landing page baseline.",Highest,Done,Sprint 0 — Foundation,,Sprint 0,foundation setup
Epic,Sprint 1 — Registry dan Admin Dasar,"Goal: Admin dapat membuat vessel terverifikasi dengan MMSI. Autentikasi admin, CRUD operator/vessel/data-source/evidence, verification workflow, audit log.",Highest,Done,Sprint 1 — Registry dan Admin Dasar,,Sprint 1,registry admin
Epic,Sprint 2 — AIS Worker,"Goal: Posisi valid untuk vessel whitelist tersimpan sebagai latest. Provider adapter, WebSocket, whitelist loading, validasi Zod, reconnect/backoff, internal API, heartbeat.",Highest,Done,Sprint 2 — AIS Worker,,Sprint 2,ais-worker websocket
Epic,Sprint 3 — Public Map,"Goal: Pengguna dapat melihat posisi terakhir kapal. MapLibre, latest positions endpoint, vessel markers, freshness legend, vessel popup/card, loading/error/empty state.",Highest,Done,Sprint 3 — Public Map,,Sprint 3,map maplibre
Epic,Sprint 4 — Search dan Detail,"Goal: Pengguna dapat menemukan dan memahami satu kapal. Global search, vessel list, vessel detail, source/verification display, responsive layout.",Highest,Done,Sprint 4 — Search dan Detail,,Sprint 4,search detail
Epic,Sprint 5 — History dan Ports,"Goal: Histori 24 jam dan konteks port tersedia. History sampling, history API/layer, port CRUD, route CRUD, port markers.",High,Done,Sprint 5 — History dan Ports,,Sprint 5,history ports
Epic,Sprint 6 — Geofence dan Realtime,"Goal: Posisi dapat diperbarui tanpa refresh dan event pelabuhan tercatat. Geofence evaluation, port events, Reverb, frontend realtime subscription, REST resync fallback.",High,Done,Sprint 6 — Geofence dan Realtime,,Sprint 6,geofence realtime websocket
Epic,Sprint 7 — Hardening dan Release,"Goal: MVP siap demo publik. Security review, performance test, E2E test, deployment, monitoring, data seed awal, documentation review.",Highest,To Do,Sprint 7 — Hardening dan Release,,Sprint 7,hardening release security performance
Story,"FND-001: Initialize monorepo folders","Buat struktur folder frontend/, backend/, worker/, database/, docs/, scripts/, tests/, .github/",Highest,Done,,Sprint 0 — Foundation,Sprint 0,foundation
Story,"FND-002: Configure frontend lint/typecheck","Setup ESLint, Prettier, vue-tsc untuk frontend Vue 3 + TypeScript",Highest,Done,,Sprint 0 — Foundation,Sprint 0,frontend tooling
Story,"FND-003: Configure backend formatter/test","Setup Pint, PHPUnit untuk backend Laravel",Highest,Done,,Sprint 0 — Foundation,Sprint 0,backend tooling
Story,"FND-004: Configure worker lint/test","Setup ESLint, Vitest untuk worker Node.js + TypeScript",Highest,Done,,Sprint 0 — Foundation,Sprint 0,worker tooling
Story,"FND-005: Add CI workflow","GitHub Actions workflow untuk format, lint, typecheck, test, build",Highest,Done,,Sprint 0 — Foundation,Sprint 0,ci-cd github-actions
Story,"FND-006: Add environment examples","Buat .env.example untuk root, frontend, backend, worker",Highest,Done,,Sprint 0 — Foundation,Sprint 0,environment config
Story,"FND-007: Define JejakBahari brand and UI baseline","Baseline identitas visual, design tokens, typography",Highest,Done,,Sprint 0 — Foundation,Sprint 0,branding design
Story,"DB-001: Enable PostGIS extension","Aktifkan extension PostGIS di PostgreSQL",Highest,Done,,Sprint 0 — Foundation,Sprint 0,database postgis
Story,"DB-002: Create operators table","Migration tabel operators",Highest,Done,,Sprint 0 — Foundation,Sprint 0,database migration
Story,"DB-003: Create vessels table","Migration tabel vessels dengan MMSI, IMO, public_visible, verification_status",Highest,Done,,Sprint 0 — Foundation,Sprint 0,database migration
Story,"DB-004: Create latest positions table","Migration tabel vessel_latest_positions dengan PostGIS point",Highest,Done,,Sprint 0 — Foundation,Sprint 0,database migration postgis
Story,"DB-005: Create history table and indexes","Migration tabel vessel_position_history dengan index untuk query performa",Highest,Done,,Sprint 0 — Foundation,Sprint 0,database migration
Story,"DB-006: Create ports and routes","Migration tabel ports dan routes dengan geometry/radius",High,Done,,Sprint 0 — Foundation,Sprint 0,database migration
Story,"DB-007: Create sources and evidence","Migration tabel data_sources dan registry_evidence",Highest,Done,,Sprint 0 — Foundation,Sprint 0,database migration
Story,"DB-008: Create audit logs","Migration tabel audit_logs untuk tracking aksi admin",High,Done,,Sprint 0 — Foundation,Sprint 0,database migration
Story,"REG-001: Seed real Indonesian RoRo vessels","Seed 8 kapal RoRo/RoPax Indonesia nyata dengan MMSI + evidence multi-sumber (4 VERIFIED + public_visible, 4 REVIEW)",Highest,In Review,,Sprint 1 — Registry dan Admin Dasar,Sprint 1,registry seeder
Story,"REG-002: Reach MVP target of 20 verified vessels","Seeder diperluas untuk total 20 kapal (6 VERIFIED + public_visible, 14 REVIEW)",Highest,In Progress,,Sprint 1 — Registry dan Admin Dasar,Sprint 1,registry seeder
Story,"REG-003: Cross-verify REVIEW vessels","Verifikasi vessel REVIEW dengan sumber independen kedua",Highest,To Do,,Sprint 1 — Registry dan Admin Dasar,Sprint 1,registry verification
Story,"REG-004: Run seeder + quality gate + rebuild backend image","Jalankan seeder, validasi quality gate, rebuild Docker image",Highest,In Progress,,Sprint 1 — Registry dan Admin Dasar,Sprint 1,registry seeder docker
Story,"API-001: Admin authentication","Autentikasi admin menggunakan Sanctum token, login/logout/me, rate limit 5x/min",Highest,Done,,Sprint 1 — Registry dan Admin Dasar,Sprint 1,api auth sanctum
