title,suite_title,description,preconditions,priority,severity,layer,type,behavior,automation_status,status,steps_actions,steps_expected_result
TC-PUB-001 — Vessel list returns public visible vessels,Sprint 3 - Public Map/Public Vessel List,"Verify GET /api/v1/vessels returns only public_visible vessels. Requirement: API-004. JIRA: JB-41.","Backend running at http://localhost:8000. Database seeded with vessels (public_visible=true and false).",critical,critical,api,functional,positive,automated,actual,"Send GET request to /api/v1/vessels without auth","Status 200, success=true, data is array, only public_visible vessels included, private vessels NOT in response"
TC-PUB-002 — Vessel list supports search by name,Sprint 3 - Public Map/Public Vessel List,"Verify search by name filters results. Requirement: API-004. JIRA: JB-41.","Database has vessel with name containing 'Merak' or 'EIRENE'.",critical,critical,api,functional,positive,automated,actual,"Send GET request to /api/v1/vessels?q=EIRENE","Status 200, success=true, all results contain 'EIRENE' in name, non-matching vessels excluded"
TC-PUB-003 — Vessel list supports search by MMSI,Sprint 3 - Public Map/Public Vessel List,"Verify search by MMSI filters results. Requirement: API-004. JIRA: JB-41.","Database has vessel with MMSI containing '525'.",high,major,api,functional,positive,automated,actual,"Send GET request to /api/v1/vessels?q=525","Status 200, success=true, results contain vessels with MMSI matching '525'"
TC-PUB-004 — Vessel list supports pagination,Sprint 3 - Public Map/Public Vessel List,"Verify page and per_page parameters work. Requirement: API-004. JIRA: JB-41.","Database has more than 5 public vessels.",critical,critical,api,functional,positive,automated,actual,"Send GET request to /api/v1/vessels?page=1&per_page=5","Status 200, meta.page=1, meta.per_page=5, data.length <= 5"
TC-PUB-005 — Vessel list caps per_page at 100,Sprint 3 - Public Map/Public Vessel List,"Verify per_page is capped at 100. Requirement: API-004. JIRA: JB-41.","None.",high,major,api,functional,negative,automated,actual,"Send GET request to /api/v1/vessels?per_page=200","Status 200, meta.per_page <= 100"
TC-PUB-006 — Vessel list supports operator_id filter,Sprint 3 - Public Map/Public Vessel List,"Verify operator_id filter returns only that operator's vessels. Requirement: API-004. JIRA: JB-41.","Set testOperatorId to valid operator UUID.",high,major,api,functional,positive,automated,actual,"Send GET request to /api/v1/vessels?operator_id={uuid}","Status 200, all results belong to the specified operator"
TC-PUB-007 — Vessel list returns empty for non-matching search,Sprint 3 - Public Map/Public Vessel List,"Verify non-matching search returns empty array with 200. Requirement: API-004. JIRA: JB-41.","None.",high,major,api,functional,negative,automated,actual,"Send GET request to /api/v1/vessels?q=ZZZNONEXISTENTZZZ","Status 200, success=true, data is empty array"
TC-PUB-008 — Vessel list includes freshness field,Sprint 3 - Public Map/Public Vessel List,"Verify each vessel includes freshness field. Requirement: API-004. JIRA: JB-41.","At least one public vessel has latest position.",critical,critical,api,functional,positive,automated,actual,"Send GET request to /api/v1/vessels","Status 200, each vessel has freshness field with value LIVE, DELAYED, STALE, or OFFLINE"
TC-PUB-009 — Vessel detail returns public vessel,Sprint 3 - Public Map/Public Vessel Detail,"Verify GET /api/v1/vessels/{id} returns vessel detail with evidence. Requirement: API-004. JIRA: JB-41. Bug history: JB-001.","Set testVesselId to valid public vessel UUID.",critical,blocker,api,regression,positive,automated,actual,"Send GET request to /api/v1/vessels/{testVesselId}","Status 200, success=true, data.id matches UUID, data.name and data.mmsi present, evidence with data_source included"
TC-PUB-010 — Vessel detail returns 404 for private vessel,Sprint 3 - Public Map/Public Vessel Detail,"Verify private vessel is not accessible via public API. Requirement: API-004. JIRA: JB-41.","Set privateVesselId to vessel with public_visible=false.",critical,critical,api,security,negative,automated,actual,"Send GET request to /api/v1/vessels/{privateVesselId}","Status 404, success=false, error.code=VESSEL_NOT_FOUND, private vessel data NOT exposed"
TC-PUB-011 — Vessel detail returns 404 for non-existent UUID,Sprint 3 - Public Map/Public Vessel Detail,"Verify non-existent UUID returns 404. Requirement: API-004. JIRA: JB-41.","None.",high,major,api,functional,negative,automated,actual,"Send GET request to /api/v1/vessels/00000000-0000-0000-0000-000000000000","Status 404, success=false"
TC-PUB-012 — Latest positions returns all public vessel positions,Sprint 3 - Public Map/Latest Positions,"Verify GET /api/v1/positions/latest returns all public positions. Requirement: API-005. JIRA: JB-42.","At least one public vessel has latest position.",critical,critical,api,functional,positive,automated,actual,"Send GET request to /api/v1/positions/latest","Status 200, success=true, data is array, each position has vessel_id, latitude, longitude, freshness, source_timestamp"
TC-PUB-013 — Latest positions supports bbox filter,Sprint 3 - Public Map/Latest Positions,"Verify bbox filter works. Format: minLng,minLat,maxLng,maxLat. Requirement: API-005. JIRA: JB-42.","Public vessel with position in Indonesia.",critical,critical,api,functional,positive,automated,actual,"Send GET request to /api/v1/positions/latest?bbox=95,-11,141,6","Status 200, all positions within bbox bounds"
TC-PUB-014 — Latest positions excludes positions outside bbox,Sprint 3 - Public Map/Latest Positions,"Verify bbox excludes out-of-bounds positions. Requirement: API-005. JIRA: JB-42.","Public vessel at lat=-5.87, lon=105.77.",high,major,api,functional,negative,automated,actual,"Send GET request to /api/v1/positions/latest?bbox=110,-8,115,-7","Status 200, vessel at (105.77,-5.87) NOT in results"
TC-PUB-015 — Latest positions ignores invalid bbox gracefully,Sprint 3 - Public Map/Latest Positions,"Verify invalid bbox does not cause 400/500. Requirement: API-005. JIRA: JB-42.","None.",medium,normal,api,functional,negative,automated,actual,"Send GET request to /api/v1/positions/latest?bbox=invalid","Status 200, invalid bbox ignored, returns all public positions"
TC-PUB-016 — Latest positions include freshness field,Sprint 3 - Public Map/Latest Positions,"Verify each position includes freshness field. Requirement: API-005. JIRA: JB-42.","At least one public vessel has position.",critical,critical,api,functional,positive,automated,actual,"Send GET request to /api/v1/positions/latest","Status 200, each position has freshness field with value LIVE, DELAYED, STALE, or OFFLINE"
TC-PUB-017 — Public health endpoint returns 200,Sprint 3 - Public Map/Health Check,"Verify public health endpoint. Requirement: API-005. JIRA: JB-42. NOTE: endpoint not yet implemented - test skipped in TR-S3-001.","Backend running.",high,normal,api,functional,positive,automated,draft,"Send GET request to /api/v1/health/public","Status 200, success=true"
